"n","p","baseline","chunked","prechunked","parallel_chunked"
10,10,23063,471027,269506,20180147
19,10,21678,427589,280141,20357954
35,10,22663,431922,278026,20802905
66,10,23437,443198,284953,22322500
123,10,29184,471480,288074,19167174
231,10,37141,509241,307413,15932706
433,10,54602,583679,341682,15858241
811,10,86671,705303,399097,13891839
1520,10,146625,947985,512297,13966849
2848,10,267753,1455854,712159,13527641
5337,10,468134,2193343,1087085,14568418
10000,10,859324,3711823,1795396,12718980
10,19,21665,442708,280060,12332487
19,19,26735,448259,293332,9103797
35,19,30466,465409,295634,9227554
66,19,38975,485807,307548,9006670
123,19,53846,530689,330828,8928846
231,19,77641,608335,373174,9321918
433,19,129569,818270,447427,9750880
811,19,233482,1081539,596645,9433906
1520,19,411247,1617565,877101,9457994
2848,19,751127,2621554,1387591,10002235
5337,19,1390073,4794649,2335425,10619517
10000,19,2609499,6811968,4128519,12132630
10,35,28780,471099,301936,9493245
19,35,33830,475863,310339,9304381
35,35,47485,509683,327426,9395695
66,35,74519,557603,358803,9432477
123,35,116335,645082,426599,9454953
231,35,202266,887347,532386,9395492
433,35,363850,1221933,736871,9664334
811,35,662449,1823186,1133209,9930043
1520,35,1240073,3308490,1854181,9768009
2848,35,2274141,5101246,3221460,11605620
5337,35,4287277,8308995,5766684,14513158
10000,35,8046888,15127070,10825997,18436169
10,66,51730,519854,347417,9307556
19,66,70817,561076,377198,9365514
35,66,125338,695613,418907,9909989
66,66,196490,778347,515539,9693367
123,66,352774,1013750,773222,9699258
231,66,638609,1629347,1044444,9889775
433,66,1173455,2584100,1677982,10583860
811,66,2179800,4964098,2854957,12510882
1520,66,4056614,7383181,5030687,12832273
2848,66,7597997,13387167,9178974,15910119
5337,66,14311050,29786848,17038404,25201640
10000,66,27890512,47652263,32684081,38187835
10,123,139488,726987,496027,9672649
19,123,199570,828552,586333,9752374
35,123,348366,1030569,803924,10510510
66,123,625468,1363531,1039886,10323433
123,123,1126995,1976112,1622741,10306132
231,123,2093749,3241840,2659149,11528934
433,123,3909273,5922064,4625186,13481784
811,123,7306385,11186491,8306071,17128690
1520,123,13651933,19281817,15311072,23563676
2848,123,25751899,35908875,28514240,31509214
5337,123,49435779,83942660,53259710,55986525
10000,123,94243030,127128452,100084635,90809039
10,231,362683,1118630,1008863,10182142
19,231,632529,1447995,1287036,10486913
35,231,1142112,2077301,1858088,10189029
66,231,2091478,3153862,2857760,11473586
123,231,3855986,5181742,4564031,12626201
231,231,7211670,9482352,8254609,15531090
433,231,13439727,17052649,14731326,23927053
811,231,25161495,34174327,27141331,31249401
1520,231,47519084,57649261,50245274,48275514
2848,231,91925862,109969121,94176608,85990082
5337,231,174826440,232903576,176310096,169027842
10000,231,331157607,399145544,345729859,281690829
10,433,1318168,2650516,2448061,13195348
19,433,2148331,3729417,3285503,13489287
35,433,3927993,5638570,5100052,15374625
66,433,7240078,9227866,8568762,18014612
123,433,13382042,16249819,14927797,23530596
231,433,25055546,30020773,26783984,36238800
433,433,46849016,56616636,49307335,58779353
811,433,88167808,106812735,91300300,86983970
1520,433,171893247,185249163,170835234,150948332
2848,433,324470023,348254177,319553634,334609059
5337,433,608540006,727055911,624303862,513370637
10000,433,1145561222,1279098183,1182121060,914874451
10,811,4460968,7918700,7228724,20667864
19,811,7488095,11361055,10887274,24669466
35,811,13697582,17950138,17178698,29416741
66,811,25245870,30016776,29270066,43935368
123,811,46661524,53810921,51127045,53744122
231,811,87400115,100225410,92645394,95584930
433,811,163552179,183868117,169763241,145369681
811,811,318822873,344065504,314341176,272399887
1520,811,611782519,614006052,586993055,496296941
2848,811,1140422293,1205597285,1151752582,898418443
5337,811,2122028910,2379981854,2174132782,1699100899
10000,811,3995051445,4297547516,4094371734,3119826241
